Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
"Iteris, Inc. (NasdaqCM:ITI)",2005.00,16.00,0.00,48.50,20.40,-0.80,1.71,14.80,45.80,11.50,0.72,8.69,-0.02,14.86,3.30,1.29,20.64,87.20,58.20
Hyduke Energy Services Inc. (TSXV:HYD),2005.00,16.00,0.00,81.40,13.80,5.23,8.89,33.30,41.50,16.10,1.63,0.20,0.06,1.77,17.20,2.07,1.09,10.30,58.30
Orbit International Corp. (OTCPK:ORBT),2005.00,16.00,0.00,24.30,10.80,2.68,3.35,18.60,29.20,3.77,2.92,0.44,0.11,1.46,14.83,4.93,0.50,30.30,58.30
Cargojet Inc. (TSX:CJT),2005.00,16.00,0.00,89.20,18.30,0.79,9.82,12.60,107.60,14.20,7.32,1.99,0.01,19.54,-1.60,0.89,2.67,,58.30
Newtek Business Services Corp. (NasdaqGM:NEWT),2005.00,16.00,0.00,95.20,70.00,7.73,34.30,233.60,265.00,10.30,-5.84,2.73,0.08,93.64,223.30,22.68,-16.03,130.40,58.50
"Global Aircraft Solutions, Inc.",2005.00,4.00,1.00,41.20,10.20,3.12,3.04,19.30,25.10,11.00,-1.28,0.72,0.08,2.19,8.30,1.75,-1.71,26.70,59.00
TigerLogic Corporation,2005.00,16.00,0.00,20.70,18.10,-1.00,0.45,12.40,41.30,7.47,0.53,28.50,-0.05,12.85,4.93,1.66,24.30,56.20,59.00
"Ballantyne Strong, Inc (AMEX:BTN)",2005.00,16.00,0.00,53.90,14.90,4.31,7.58,39.10,46.90,6.44,5.55,0.00,0.08,0.00,32.66,6.07,0.00,66.00,59.00
MTY Food Group Inc. (TSX:MTY),2005.00,16.00,0.00,16.00,13.30,3.65,6.07,12.00,21.00,3.28,3.96,0.00,0.23,0.00,8.72,3.66,0.00,29.60,59.50
Geokinetics Inc.,2005.00,8.00,1.00,62.20,4.82,-1.92,1.42,35.70,74.70,33.70,0.77,4.50,-0.03,6.39,2.00,1.06,8.31,13.30,59.80
Geokinetics Inc.,2005.00,13.00,1.00,62.20,4.82,-1.92,1.42,35.70,74.70,33.70,0.77,4.50,-0.03,6.39,2.00,1.06,8.31,13.30,59.80
ZCL Composites Inc.,2005.00,16.00,0.00,36.80,7.65,2.81,5.73,17.80,30.10,7.34,0.65,0.42,0.08,2.38,10.46,2.43,3.66,49.50,59.90
ISC8 Inc.,2005.00,9.00,1.00,23.70,5.99,-1.75,0.35,15.00,32.30,8.77,1.08,41.30,-0.07,14.33,6.23,1.71,13.27,41.10,60.30
ISC8 Inc.,2005.00,16.00,0.00,23.70,5.99,-1.75,0.35,15.00,32.30,8.77,1.08,41.30,-0.07,14.33,6.23,1.71,13.27,41.10,60.30
US Home Systems Inc.,2005.00,16.00,0.00,98.10,48.20,-0.41,3.08,15.80,74.40,5.39,3.33,13.30,0.00,40.96,10.41,2.93,12.30,47.10,60.50
Hastings Entertainment Inc.,2005.00,16.00,0.00,537.90,189.10,5.70,50.70,179.90,254.70,127.40,21.20,0.48,0.01,24.54,52.50,1.41,1.16,94.40,60.90
Glentel Inc.,2005.00,16.00,0.00,122.80,53.30,5.25,11.00,50.90,75.40,33.20,12.40,0.00,0.04,0.00,17.70,1.53,0.00,49.60,61.00
Rochester Medical Corporation,2005.00,16.00,0.00,16.90,5.82,1.12,1.76,14.50,22.60,1.25,1.98,0.00,0.07,0.00,13.25,11.60,0.00,55.20,61.00
IRIDEX Corporation (NasdaqGM:IRIX),2005.00,16.00,0.00,37.00,18.20,1.67,2.24,38.90,41.10,6.59,2.77,0.00,0.05,0.00,32.31,5.90,0.00,36.60,61.30
"HealthStream, Inc. (NasdaqGS:HSTM)",2005.00,16.00,0.00,27.40,17.60,1.91,4.28,18.60,35.20,9.20,5.80,0.00,0.07,0.00,9.40,2.02,0.00,68.20,61.30
Bridgford Foods Corporation (NasdaqGM:BRID),2005.00,16.00,0.00,131.80,45.40,-0.88,1.94,42.30,71.20,10.30,5.70,0.00,-0.01,0.00,32.00,4.11,0.00,85.20,61.40
"Perceptron, Inc.",2005.00,16.00,0.00,57.80,26.30,3.31,5.52,51.60,64.30,10.40,0.61,0.00,0.06,0.00,41.20,4.96,0.00,59.90,61.60
LICT Corporation (OTCPK:LICT),2005.00,16.00,0.00,93.70,59.40,4.30,40.70,44.90,275.50,72.20,27.70,3.78,0.05,153.85,-27.30,0.62,5.55,79.40,62.00
Amaya (Alberta) Inc.,2005.00,16.00,0.00,14.50,8.65,2.64,4.60,19.20,27.00,1.50,1.31,0.00,0.18,0.00,17.70,12.80,0.00,102.70,62.00
Diaz Resources Ltd.,2005.00,16.00,0.00,15.80,13.10,3.79,11.00,8.74,48.50,15.20,8.99,0.44,0.24,4.81,-6.46,0.58,0.53,,62.20
Prestige Consumer Healthcare Inc. (NYSE:PBH),2005.00,16.00,0.00,294.00,156.10,20.90,104.20,92.60,1053.80,36.00,46.90,4.87,0.07,507.45,56.60,2.57,10.82,,62.70
Sotherly Hotels Inc. (NasdaqGM:SOHO),2005.00,16.00,0.00,55.20,12.80,2.48,11.00,13.50,118.40,10.40,6.77,4.17,0.04,45.87,3.10,1.30,6.78,58.20,63.00
Daily Journal Corporation (NasdaqCM:DJCO),2005.00,16.00,0.00,32.40,13.10,3.78,4.83,17.10,33.00,12.80,4.52,0.00,0.12,0.00,4.30,1.34,0.00,65.70,63.20
Tasty Baking Company,2005.00,16.00,0.00,172.30,60.60,1.84,9.59,29.00,121.30,19.40,-0.18,2.87,0.01,27.52,9.60,1.49,-156.38,68.00,63.70
Meade Instruments Corp.,2005.00,16.00,0.00,116.20,29.40,-2.46,1.12,96.50,110.00,44.40,6.26,19.00,-0.02,21.28,52.10,2.17,3.40,65.80,63.80
Planet Health Corp.,2005.00,16.00,0.00,29.30,11.40,0.83,1.69,5.39,14.30,2.70,1.73,0.93,0.03,1.56,2.69,2.00,0.90,16.80,63.90
"Streamline Health Solutions, Inc. (NasdaqCM:STRM)",2005.00,16.00,0.00,16.10,9.69,2.55,2.41,9.99,16.40,6.64,2.77,0.00,0.16,0.00,3.35,1.50,0.00,27.90,64.00
Costa Inc.,2005.00,16.00,0.00,129.10,62.90,0.38,9.09,73.60,112.90,23.30,0.43,0.00,0.00,0.00,50.30,3.16,0.00,78.30,64.20
"Alpha Pro Tech, Ltd. (AMEX:APT)",2005.00,16.00,0.00,31.10,14.10,2.45,4.35,16.90,21.90,2.58,-2.04,0.00,0.08,0.00,14.32,6.55,0.00,43.00,64.30
MEDTOX Scientific Inc.,2005.00,16.00,0.00,63.00,27.10,3.32,8.70,17.10,59.40,8.75,7.75,0.58,0.05,5.05,8.35,1.95,0.65,61.80,64.30
R.G. Barry Corporation,2005.00,16.00,0.00,97.60,43.10,8.05,10.60,36.10,41.80,15.30,6.18,0.00,0.08,0.00,20.80,2.36,0.00,34.90,64.40
"PCM, Inc.",2005.00,16.00,0.00,997.20,118.60,-3.71,4.06,185.60,205.20,150.00,-11.50,12.30,0.00,49.94,35.60,1.24,-4.34,190.50,65.10
FieldPoint Petroleum Corporation (OTCPK:FPPP),2005.00,15.00,1.00,3.98,2.77,1.04,2.01,2.19,7.62,0.33,1.62,0.00,0.26,0.00,1.86,6.64,0.00,10.80,65.40
FieldPoint Petroleum Corporation (OTCPK:FPPP),2005.00,16.00,0.00,3.98,2.77,1.04,2.01,2.19,7.62,0.33,1.62,0.00,0.26,0.00,1.86,6.64,0.00,10.80,65.40
Tucows Inc. (NasdaqCM:TCX),2005.00,16.00,0.00,48.50,17.90,2.77,3.04,41.80,57.10,32.80,4.06,0.00,0.06,0.00,9.00,1.27,0.00,67.50,65.40
"Crexendo, Inc. (NasdaqCM:CXDO)",2005.00,16.00,0.00,153.10,124.50,90.90,77.00,37.10,53.90,25.80,21.90,0.00,0.59,0.00,11.30,1.44,0.00,247.00,66.10
"RCM Technologies, Inc. (NasdaqGM:RCMT)",2005.00,16.00,0.00,180.60,42.70,3.54,7.22,64.10,106.80,31.10,3.60,0.02,0.02,0.14,33.00,2.06,0.04,52.20,66.20
Jovian Capital Corporation,2005.00,16.00,0.00,82.00,29.20,0.37,7.04,50.00,82.30,22.00,-9.84,0.00,0.00,0.00,28.00,2.27,0.00,42.10,66.40
Cybex International Inc.,2005.00,16.00,0.00,114.60,41.50,0.06,11.00,31.10,55.70,26.60,7.20,1.24,0.00,13.64,4.50,1.17,1.89,61.00,66.60
McGraw-Hill Ryerson Ltd.,2005.00,16.00,0.00,75.20,36.00,4.40,9.02,50.20,75.90,13.90,13.30,0.00,0.06,0.00,36.30,3.61,0.00,55.60,67.20
Lacrosse Footwear Inc.,2005.00,16.00,0.00,99.40,36.30,5.23,10.10,50.00,64.60,8.92,-0.61,0.00,0.05,0.00,41.08,5.61,0.00,61.00,67.30
"Edgewater Technology, Inc.",2005.00,16.00,0.00,43.10,18.00,1.60,2.12,45.90,84.60,6.50,1.08,0.00,0.04,0.00,39.40,7.06,0.00,55.70,67.70
EFH Holdings Inc. (TSXV:EFH),2005.00,16.00,0.00,72.10,22.30,14.50,14.90,84.70,223.70,153.90,20.00,0.00,0.20,0.00,-69.20,0.55,0.00,,67.80
Milacron Inc.,2005.00,4.00,1.00,808.90,145.80,-14.00,29.30,368.80,671.60,182.00,9.20,6.63,-0.02,194.26,186.80,2.03,21.12,153.70,67.90
Integramed America Inc.,2005.00,16.00,0.00,128.80,12.50,1.72,7.97,26.80,66.60,20.10,13.30,0.00,0.01,0.00,6.70,1.33,0.00,39.60,68.00
OMNI Energy Services Corp.,2005.00,16.00,0.00,43.40,17.40,-4.27,7.34,16.80,43.80,16.80,2.89,3.41,-0.10,25.03,0.00,1.00,8.66,20.00,68.10
"FIC Restaurants, Inc.",2005.00,15.00,1.00,531.30,76.20,-27.30,37.50,49.70,218.20,66.30,14.00,5.85,-0.05,219.38,-16.60,0.75,15.67,67.20,68.30
Score Media Inc.,2005.00,16.00,0.00,22.60,11.30,2.87,3.82,5.23,8.70,3.67,3.26,2.36,0.13,9.02,1.56,1.43,2.77,26.70,68.80
"Computer Task Group, Incorporated (NasdaqGS:CTG)",2005.00,16.00,0.00,294.50,67.80,2.42,7.59,77.90,128.30,37.60,-16.20,2.76,0.01,20.95,40.30,2.07,-1.29,69.70,69.20
"Key Technology, Inc.",2005.00,16.00,0.00,84.90,32.80,2.62,7.59,42.50,56.80,15.40,6.00,0.00,0.03,0.00,27.10,2.76,0.00,48.00,69.60
Bowl America Incorporated (AMEX:BWL.A),2005.00,16.00,0.00,29.50,7.60,3.93,6.78,11.70,43.30,4.57,5.50,0.00,0.13,0.00,7.13,2.56,0.00,71.20,69.60
Western Financial Group Inc.,2005.00,16.00,0.00,57.20,10.80,4.16,10.80,171.00,240.00,52.60,5.60,0.00,0.07,0.00,118.40,3.25,0.00,36.20,69.70
"Tandy Brands Accessories, Inc. (OTCPK:TBAC.Q)",2005.00,9.00,1.00,221.60,76.40,0.39,11.00,130.70,168.40,24.70,1.14,2.17,0.00,23.87,106.00,5.29,20.94,93.20,69.80
"Tandy Brands Accessories, Inc. (OTCPK:TBAC.Q)",2005.00,16.00,0.00,221.60,76.40,0.39,11.00,130.70,168.40,24.70,1.14,2.17,0.00,23.87,106.00,5.29,20.94,93.20,69.80
Heska Corporation (NasdaqCM:HSKA),2005.00,16.00,0.00,69.40,25.80,0.28,2.88,26.80,36.80,20.70,0.15,2.85,0.00,8.21,6.10,1.29,55.46,52.60,69.90
"Image Entertainment, Inc.",2005.00,16.00,0.00,110.40,28.90,1.14,4.64,58.80,91.70,49.80,-7.65,3.40,0.01,15.78,9.00,1.18,-2.06,104.20,69.90
LifeVantage Corporation (NasdaqCM:LFVN),2005.00,16.00,0.00,7.03,5.68,-4.82,1.85,6.31,12.30,1.80,0.31,0.00,-0.69,0.00,4.51,3.51,0.00,127.70,69.90
Innodata Inc. (NasdaqGM:INOD),2005.00,16.00,0.00,42.10,13.20,-1.65,0.61,30.30,37.60,8.89,1.12,0.00,-0.04,0.00,21.41,3.41,0.00,93.20,70.00
Providence and Worcester Railroad Company,2005.00,16.00,0.00,26.70,9.77,1.21,3.87,7.40,93.50,3.76,4.91,0.00,0.05,0.00,3.64,1.97,0.00,56.00,70.40
Houston American Energy Corp. (AMEX:HUSA),2005.00,16.00,0.00,2.84,1.92,-0.50,1.08,2.31,5.05,3.35,0.70,0.00,-0.18,0.00,-1.04,0.69,0.00,15.70,70.50
Analysts International Corp.,2005.00,16.00,0.00,322.30,59.60,-17.70,1.36,69.40,102.00,43.20,-5.06,3.64,-0.05,4.95,26.20,1.61,-0.98,88.90,70.70
Artis Real Estate Investment Trust (TSX:AX.UN),2005.00,16.00,0.00,8.27,5.34,-2.16,3.88,10.90,234.40,4.13,4.04,40.00,-0.26,155.20,6.77,2.64,38.42,,70.70
The Eastern Company (NasdaqGM:EML),2005.00,16.00,0.00,109.10,24.70,4.37,11.40,45.00,81.60,13.80,5.20,0.83,0.04,9.45,31.20,3.26,1.82,72.60,70.80
"Nobel Learning Communities, Inc.",2005.00,16.00,0.00,163.00,23.00,3.08,15.00,12.60,77.20,26.40,13.90,0.72,0.02,10.83,-13.80,0.48,0.78,55.20,70.90
Yoho Resources Inc.,2005.00,16.00,0.00,6.80,4.98,1.53,3.89,8.85,34.30,8.12,5.73,0.00,0.23,0.00,0.73,1.09,0.00,,71.50
NTS Realty Holdings LP,2005.00,16.00,0.00,18.00,8.79,-1.77,6.55,7.39,187.80,5.45,7.33,20.30,-0.10,132.97,1.94,1.36,18.14,64.00,72.00
"A.D.A.M., Inc.",2005.00,16.00,0.00,10.10,8.70,7.06,2.18,13.30,21.90,4.72,3.98,0.00,0.70,0.00,8.58,2.82,0.00,45.90,72.30
PFB Corporation (TSX:PFB),2005.00,16.00,0.00,69.00,19.60,5.00,10.20,24.10,46.40,12.50,9.14,0.00,0.07,0.00,11.60,1.93,0.00,24.10,72.40
"SunLink Health Systems, Inc. (AMEX:SSY)",2005.00,16.00,0.00,120.00,30.10,5.55,11.90,23.10,65.40,20.20,6.83,0.53,0.05,6.27,2.90,1.14,0.92,45.80,72.40
TESSCO Technologies Incorporated (NasdaqGS:TESS),2005.00,16.00,0.00,531.70,103.40,5.37,13.40,98.40,127.50,54.00,-1.40,0.65,0.01,8.67,44.40,1.82,-6.19,62.50,72.40
"KMG Chemicals, Inc.",2005.00,16.00,0.00,63.00,20.20,3.34,8.98,24.10,62.10,10.30,8.88,1.09,0.05,9.79,13.80,2.34,1.10,56.90,72.80
InfoSonics Corporation,2005.00,16.00,0.00,145.80,12.10,2.71,3.83,36.00,37.00,19.00,-7.02,0.60,0.02,2.29,17.00,1.89,-0.33,17.60,73.00
Synalloy Corporation (NasdaqGM:SYNL),2005.00,16.00,0.00,131.40,16.80,5.10,9.09,48.00,71.00,19.30,15.40,0.94,0.04,8.55,28.70,2.49,0.56,59.60,73.20
"CCA Industries, Inc. (OTCPK:CAWW)",2005.00,16.00,0.00,61.20,38.40,3.79,6.99,27.90,35.30,9.31,4.97,0.00,0.06,0.00,18.59,3.00,0.00,101.50,73.20
"Adept Technology, Inc.",2005.00,16.00,0.00,55.00,25.70,0.58,1.53,26.40,31.80,13.90,-0.80,0.01,0.01,0.02,12.50,1.90,-0.02,47.30,73.50
"Atlantis Plastics, Inc. (OTCPK:ATPL)",2005.00,3.00,1.00,424.30,65.20,6.67,41.70,108.70,242.40,50.80,9.34,4.78,0.02,199.33,57.90,2.14,21.34,163.00,73.70
CECO Environmental Corp. (NasdaqGS:CECE),2005.00,16.00,0.00,81.50,17.00,-0.44,4.69,21.80,42.90,18.20,2.59,3.01,-0.01,14.12,3.60,1.20,5.45,38.90,74.00
"Baldwin Technology Company, Inc.",2005.00,16.00,0.00,178.40,61.30,6.10,12.20,77.10,108.40,48.60,15.20,0.00,0.03,0.00,28.50,1.59,0.00,41.80,74.00
"ION Media Networks, Inc.",2005.00,4.00,1.00,254.20,192.70,-235.70,32.40,132.40,1146.30,626.50,3.05,48.60,-0.93,1574.64,-494.10,0.21,516.28,126.60,74.20
"Hennessy Advisors, Inc. (NasdaqCM:HNNA)",2005.00,16.00,0.00,13.00,9.83,3.26,6.80,7.99,29.20,3.19,3.82,0.86,0.25,5.87,4.80,2.50,1.54,45.80,74.30
Shoe Pavilion Inc.,2005.00,3.00,1.00,100.30,35.20,2.63,6.21,43.80,52.20,20.50,-0.08,1.22,0.03,7.58,23.30,2.14,-97.13,26.50,74.50
Standard Diversified Opportunities Inc.,2005.00,16.00,0.00,24.80,13.40,0.58,1.60,17.90,36.70,2.32,2.12,0.00,0.02,0.00,15.58,7.72,0.00,64.50,74.70
"Tandy Leather Factory, Inc. (OTCPK:TLFA)",2005.00,16.00,0.00,50.70,28.80,3.71,6.03,21.70,25.70,4.11,1.54,0.00,0.07,0.00,17.59,5.28,0.00,36.00,75.40
SGO Mining Inc.,2005.00,16.00,0.00,23.10,5.71,-3.01,3.75,18.10,81.40,12.20,1.94,1.28,-0.13,4.80,5.90,1.48,2.47,53.70,75.40
Psychemedics Corporation (NasdaqCM:PMD),2005.00,16.00,0.00,21.40,12.60,4.05,6.74,10.10,11.10,2.25,4.32,0.00,0.19,0.00,7.85,4.49,0.00,66.60,75.40
Astea International Inc.,2005.00,16.00,0.00,22.00,12.50,1.03,1.49,15.20,21.60,9.74,5.25,0.00,0.05,0.00,5.46,1.56,0.00,20.80,75.90
"Core Molding Technologies, Inc. (AMEX:CMT)",2005.00,16.00,0.00,130.50,23.30,6.29,12.60,42.90,74.20,20.10,8.05,0.16,0.05,1.95,22.80,2.13,0.24,29.70,76.50
Ampex Corporation,2005.00,3.00,1.00,53.20,39.40,6.73,19.40,25.10,26.70,14.70,-3.40,0.66,0.13,12.77,10.40,1.71,-3.75,182.30,76.60
"NTN Buzztime, Inc. (AMEX:NTN)",2005.00,16.00,0.00,30.70,20.90,-2.02,3.52,17.10,30.00,8.44,3.19,0.00,-0.07,0.00,8.66,2.03,0.00,166.10,77.40
Numerex Corp.,2005.00,16.00,0.00,29.90,12.70,0.59,2.80,12.60,36.30,7.84,3.28,0.00,0.02,0.00,4.76,1.61,0.00,56.50,77.50
Destination Maternity Corporation (OTCPK:DEST.Q),2005.00,14.00,1.00,579.40,290.70,0.50,36.30,139.70,283.90,66.60,24.00,2.85,0.00,103.46,73.10,2.10,4.31,77.60,77.50
Destination Maternity Corporation (OTCPK:DEST.Q),2005.00,16.00,0.00,579.40,290.70,0.50,36.30,139.70,283.90,66.60,24.00,2.85,0.00,103.46,73.10,2.10,4.31,77.60,77.50
NVE Corporation (NasdaqCM:NVEC),2005.00,16.00,0.00,11.80,5.29,1.65,2.47,7.07,16.10,0.92,2.46,0.00,0.14,0.00,6.15,7.65,0.00,140.20,77.50
Amica Mature Lifestyles Inc.,2005.00,16.00,0.00,35.00,16.50,1.01,9.74,20.20,131.70,4.62,5.50,7.51,0.03,73.15,15.58,4.37,13.30,46.40,77.60
Calian Group Ltd. (TSX:CGY),2005.00,16.00,0.00,160.50,26.10,7.69,13.30,47.20,59.50,21.60,-5.70,0.00,0.05,0.00,25.60,2.19,0.00,85.00,77.70
Cobra Electronics Corporation,2005.00,16.00,0.00,133.10,34.10,12.00,6.97,71.50,92.90,13.50,-3.00,0.00,0.09,0.00,58.00,5.30,0.00,47.80,78.00
Plaza Retail REIT (TSX:PLZ.UN),2005.00,16.00,0.00,26.30,15.10,0.80,13.60,7.59,157.70,12.90,-2.62,9.31,0.03,126.62,-5.31,0.59,-48.33,46.20,78.10
Sirocco Mining Inc.,2005.00,16.00,0.00,12.60,2.98,2.52,0.74,17.20,64.70,9.42,-1.50,0.00,0.20,0.00,7.78,1.83,0.00,31.10,78.20
Gentherm Incorporated (NasdaqGS:THRM),2005.00,16.00,0.00,35.70,10.70,16.50,3.01,23.40,37.30,7.75,2.52,0.00,0.46,0.00,15.65,3.02,0.00,68.20,78.50
High Liner Foods Incorporated (TSX:HLF),2005.00,16.00,0.00,214.70,41.40,-34.70,8.63,76.50,109.20,47.10,-7.99,2.52,-0.16,21.75,29.40,1.62,-2.72,83.70,78.70
AirBoss of America Corp. (TSX:BOS),2005.00,16.00,0.00,194.10,22.60,1.37,12.30,41.00,107.00,49.10,13.10,2.42,0.01,29.77,-8.10,0.84,2.27,69.10,79.10
"Hines Horticulture, Inc.",2005.00,5.00,1.00,245.30,124.30,-1.82,32.00,251.40,391.10,105.10,7.12,7.26,-0.01,232.32,146.30,2.39,32.63,83.90,79.50
"Perma-Fix Environmental Services, Inc. (NasdaqCM:PESI)",2005.00,16.00,0.00,50.10,18.80,3.74,9.53,32.90,98.50,27.00,7.48,1.39,0.07,13.25,5.90,1.22,1.77,78.90,79.70
Cardtronics Canada Holdings ULC,2005.00,16.00,0.00,41.30,21.00,0.87,14.30,14.10,110.50,18.30,13.00,0.25,0.02,3.60,-4.20,0.77,0.28,,79.70
TeleCommunication Systems Inc.,2005.00,16.00,0.00,102.20,45.20,-11.50,5.76,65.60,90.60,38.20,4.75,1.25,-0.11,7.20,27.40,1.72,1.52,92.70,80.30
"ADDvantage Technologies Group, Inc. (NasdaqGM:AEY)",2005.00,16.00,0.00,52.80,17.70,6.04,10.60,36.00,40.80,11.00,4.46,0.89,0.11,9.39,25.00,3.27,2.11,54.20,80.50
"Medifast, Inc. (NYSE:MED)",2005.00,16.00,0.00,40.10,30.00,2.40,5.67,14.40,30.10,4.45,3.21,0.17,0.06,0.99,9.95,3.24,0.31,36.20,81.00
Zedi Inc.,2005.00,16.00,0.00,22.70,10.90,4.27,3.70,18.40,33.00,6.11,3.97,0.00,0.19,0.00,12.29,3.01,0.00,128.60,81.00
Richards Packaging Income Fund (TSX:RPI.UN),2005.00,16.00,0.00,141.80,20.90,6.20,12.80,42.70,139.70,31.00,4.84,2.53,0.04,32.38,11.70,1.38,6.69,99.80,81.10
"Superior Group of Companies, Inc. (NasdaqGM:SGC)",2005.00,16.00,0.00,133.30,39.70,1.24,6.04,68.90,97.30,10.90,11.20,0.40,0.01,2.44,58.00,6.32,0.22,109.80,81.10
"Command Center, Inc.",2005.00,16.00,0.00,2.19,2.19,0.36,0.42,2.05,5.27,0.59,0.54,0.85,0.16,0.35,1.46,3.46,0.66,,81.50
Ampal-American Israel Corp.,2005.00,7.00,1.00,21.50,21.20,-5.96,12.20,62.90,211.50,2.28,43.20,0.00,-0.28,0.00,60.62,27.59,0.00,81.10,81.60
Ampal-American Israel Corp.,2005.00,7.00,1.00,21.50,21.20,-5.96,12.20,62.90,211.50,2.28,43.20,0.00,-0.28,0.00,60.62,27.59,0.00,81.10,81.60
Coastal Contacts Inc.,2005.00,16.00,0.00,64.60,17.10,1.83,2.94,39.70,51.00,7.44,-2.87,0.00,0.03,0.00,32.26,5.34,0.00,17.30,82.00
"Delta Natural Gas Company, Inc.",2005.00,16.00,0.00,104.90,19.60,5.65,18.20,51.60,177.60,51.40,-3.27,4.70,0.05,85.54,0.20,1.00,-26.16,86.70,82.10
Finlay Enterprises Inc.,2005.00,4.00,1.00,689.50,337.10,-55.70,37.20,446.40,521.50,194.10,27.30,4.62,-0.08,171.86,252.30,2.30,6.30,150.10,82.10
"American Realty Investors, Inc. (NYSE:ARL)",2005.00,7.00,1.00,123.50,40.90,47.40,17.60,44.30,1345.80,89.20,9.84,47.00,0.38,827.20,-44.90,0.50,84.07,98.00,82.70
"American Realty Investors, Inc. (NYSE:ARL)",2005.00,7.00,1.00,123.50,40.90,47.40,17.60,44.30,1345.80,89.20,9.84,47.00,0.38,827.20,-44.90,0.50,84.07,98.00,82.70
Sparton Corporation,2005.00,16.00,0.00,162.40,13.60,4.15,1.17,93.00,120.30,18.60,2.59,0.00,0.03,0.00,74.40,5.00,0.00,81.90,83.40
"Inuvo, Inc. (AMEX:INUV)",2005.00,16.00,0.00,40.40,26.60,0.00,2.34,10.40,57.50,8.79,0.24,2.27,0.00,5.31,1.61,1.18,22.23,135.50,83.80
"Motorcar Parts of America, Inc. (NasdaqGS:MPAA)",2005.00,16.00,0.00,106.50,27.70,3.90,11.10,81.00,94.00,35.80,-13.90,0.61,0.04,6.76,45.20,2.26,-0.49,76.80,84.10
PRT Growing Services Ltd.,2005.00,16.00,0.00,36.10,15.50,5.15,9.37,16.90,89.80,13.80,5.17,1.60,0.14,14.99,3.10,1.22,2.90,58.40,84.40
"Forward Industries, Inc. (NasdaqCM:FORD)",2005.00,16.00,0.00,51.60,18.00,8.84,11.90,27.10,27.30,3.16,11.50,0.00,0.17,0.00,23.94,8.58,0.00,47.20,84.60
Paladin Labs Inc.,2005.00,16.00,0.00,28.90,21.50,2.79,6.00,50.20,66.60,9.40,8.90,0.00,0.10,0.00,40.80,5.34,0.00,52.70,85.20
"The Walking Company Holdings, Inc.",2005.00,13.00,1.00,179.10,98.80,4.72,12.70,51.70,72.80,20.00,7.25,0.44,0.03,5.64,31.70,2.59,0.78,59.90,85.20
Emerson Radio Corp. (AMEX:MSN),2005.00,16.00,0.00,235.50,29.70,15.80,5.29,87.90,97.80,28.10,18.20,0.00,0.07,0.00,59.80,3.13,0.00,100.60,85.20
Willis Lease Finance Corporation (NasdaqGM:WLFC),2005.00,16.00,0.00,61.30,61.30,3.64,60.00,74.80,655.70,26.20,38.80,6.69,0.06,401.40,48.60,2.85,10.35,71.60,85.30
Big Rock Brewery Inc. (TSX:BR),2005.00,16.00,0.00,34.80,21.70,5.68,8.43,11.00,35.80,3.34,7.74,0.00,0.16,0.00,7.66,3.29,0.00,77.40,85.30
Astronics Corporation (NasdaqGS:ATRO),2005.00,16.00,0.00,74.40,14.90,2.24,7.00,38.10,66.40,24.80,4.57,1.96,0.03,13.72,13.30,1.54,3.00,39.30,85.70
"LSB Industries, Inc. (NYSE:LXU)",2005.00,16.00,0.00,397.10,64.80,4.99,22.90,104.40,189.00,63.50,10.90,4.82,0.01,110.38,40.90,1.64,10.13,83.40,85.80
"SRS Labs, Inc.",2005.00,16.00,0.00,14.60,14.40,-1.42,2.63,13.10,35.10,4.25,2.99,0.00,-0.10,0.00,8.85,3.08,0.00,76.00,86.10
Logistec Corporation (TSX:LGT.B),2005.00,16.00,0.00,162.10,18.00,5.79,18.00,44.10,106.00,23.50,15.30,0.00,0.04,0.00,20.60,1.88,0.00,57.10,86.30
"Keweenaw Land Association, Limited (OTCPK:KEWL)",2005.00,16.00,0.00,10.80,4.01,1.43,2.42,2.67,14.10,0.58,1.68,0.00,0.13,0.00,2.09,4.60,0.00,88.00,86.80
"Nuvera Communications, Inc. (OTCPK:NUVR)",2005.00,16.00,0.00,17.30,11.90,5.46,8.39,4.27,55.30,4.92,6.49,1.48,0.32,12.42,-0.65,0.87,1.91,43.50,87.00
Virco Mfg. Corporation (NasdaqGM:VIRC),2005.00,16.00,0.00,214.50,64.70,-9.57,3.24,52.20,114.70,36.80,0.30,7.74,-0.04,25.08,15.40,1.42,82.49,102.80,87.20
Divestco Inc.,2005.00,16.00,0.00,33.20,19.40,4.44,13.80,29.50,68.80,26.50,9.16,0.29,0.13,4.03,3.00,1.11,0.44,23.70,87.50
"Integrated BioPharma, Inc. (OTCPK:INBP)",2005.00,16.00,0.00,48.10,14.50,-0.97,1.55,21.20,29.50,10.30,3.15,0.50,-0.02,0.77,10.90,2.06,0.25,94.40,87.50
WellSky Corporation,2005.00,16.00,0.00,37.60,27.70,2.48,3.91,27.10,52.20,11.60,11.20,0.00,0.07,0.00,15.50,2.34,0.00,100.50,87.50
